,KODE,NAMA BAHAN,SUMBER,Food Group,Type,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),Unnamed: 24
664,DR057,"Daun ndusuk, segar",KZGMI-2001,sayuran,single,56,166,1.7,0.5,38.8,10.7,3,40,20,1.8,40,310,0.2,0.7,,14457,,0.4,0.1,0.1,30,
665,DR058,"Daun oyong, segar",DABM-1964,sayuran,single,93,22,1,0.1,5.3,2,0.6,21,44,2,40,295.5,0.1,0.2,,855,1000,0.08,0.1,0.8,"15
0",65
666,DR059,"Daun pakis, segar",KZGPI-1990,sayuran,single,86.8,39,4.5,0.4,6.9,2,1.4,136,159,2.3,20,201.9,0.2,0.3,0,1625,3292,0.02,0.1,0.5,3,70
667,DR060,"Daun pakis longgiho,
segar",KZGMI-2001,sayuran,single,89.5,54,2.2,3.6,3.1,2.1,1.6,40,80,0.7,70,500,0.4,0.1,,168,,0.4,0.3,0.2,8,70
668,DR061,"Daun pakis
wambateu, segar",KZGMI-2001,sayuran,single,86.9,53,3.4,1.2,7.2,4.8,1.3,30,100,0.3,20,200,0.2,0.3,,191,,0.7,0.2,0.3,6,70
669,DR062,"Daun paku, segar",KZGMI-2001,sayuran,single,88.8,29,3.4,0.1,6.5,4.3,1.2,13,88,1.3,19,434,0.5,0.7,,18,,0.2,0.1,11.7,10,70
670,DR063,"Daun pangi,segar",KZGMI-2001,sayuran,single,76.1,104,3.9,0.6,17.9,8.3,1.5,256,22,1.8,4,266,1.7,0.5,,55,,0.4,0.1,0.1,23,90
671,DR064,"Daun pare, segar",KZGMI-2001,sayuran,single,87.3,49,2.7,1,8.4,3,1.6,217,70,3.3,7,498,0.4,1.2,,1800,,0.4,0.2,0.6,7,
672,DR065,"Daun pepaya, segar",DABM-1964,sayuran,single,75.4,87,8,2,11.9,1.5,2.7,353,63,0.8,4,926.6,0.2,1.5,,5409,18250,0.15,0.5,1.9,"14
0",71
673,DR066,"Daun pohpohan, segar",KZGPI-1990,sayuran,single,87.4,37,2.5,0.8,6.9,2.6,2.4,744,80,5.9,,,,,0,,7378,0.03,,,5,69
674,DR067,"Daun selasih, segar",KZGMI-2001,sayuran,single,83.1,62,4,0.5,10.5,5.3,1.9,122,16,13.9,3,259,0.4,0.7,0,4112,,0.5,0.1,0.2,24,53
675,DR068,"Daun semanggi, segar",KZGPI-1990,sayuran,single,84.7,45,4.4,0.5,8.5,1.9,1.9,98,90,7,64,520.7,0.5,0.3,0,64,3365,0.01,0.5,0.7,6,90
676,DR069,"Daun simpur, segar",KZGPI-1990,sayuran,single,86.2,53,3.2,2.5,7.6,1.6,0.9,228,194,3.5,,,,,0,,3346,0.02,,,5,100
677,DR070,"Daun singkil, segar",KZGPI-1990,sayuran,single,80.9,68,2,1,15.2,3.3,0.9,178,86,2.1,,,,,,,6042,0.02,,,3,70
678,DR071,"Daun singkong, segar",KZGPI-1990,sayuran,single,84.4,50,6.2,1.1,7.1,2.4,1.2,166,99,1.3,17,23.1,0.1,2,0,3204,7052,0.04,0.1,1.8,"10
3",87
679,DR072,"Daun singkong
ambon, segar",DABM-1964,sayuran,single,58,144,12.7,1.2,25.2,10.2,2.9,165,54,3.9,44,62.2,0.2,5.4,,8627,13000,0.21,1,4.2,"22
0",87
680,DR073,"Daun singkong
ampenan, segar",KZGMI-2001,sayuran,single,84.4,50,6.2,1.1,7.1,2.4,1.2,352,123,2.7,49,570,0.2,1.3,,7917,,0.5,0.1,1.6,"10
3",87
681,DR074,"Daun singkong
kopang, segar",KZGMI-2001,sayuran,single,81.1,74,6.3,0.7,10.7,4.6,1.2,142,115,1.7,32,382,0.2,1.5,,3882,,0.5,0.5,1.9,"21
1",87
682,DR075,"Daun sintrong, segar",KZGPI-1990,sayuran,single,88.5,36,2.6,0.9,6.1,1.7,1.9,398,95,9.3,64,444.4,0.1,0.4,0,10178,8868,0.03,0.2,0.9,3,94
683,DR076,"Daun talas, segar",KZGPI-1990,sayuran,single,81.1,59,3,0.4,13.5,3,2,236,50,2.4,4,854.1,0.4,0.5,0,3816,5740,0.07,0.6,2,24,80
