,KODE,NAMA BAHAN,SUMBER,Food Group,Type,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),Unnamed: 24
161,ER023,"Durian, segar",DABM-1964,buah,single,65.0,134.0,2.5,3,28.0,3.5,8.0,7.0,44.0,1.3,1.0,601.0,0.1,0.3,,146.0,175.0,0.1,0.19,136.5,53,22.0
162,ER024,"Duwet, segar",KZGPI- 1990,buah,single,80.2,80.0,0.5,0.6,18.2,0.9,0.5,33.0,138.0,1.3,16.0,92.7,191.3,0.3,0.0,329.0,0.0,0.02,0.01,2.5,"13
0",67.0
163,ER025,"Embacang, segar",DABM-1964,buah,single,72.5,98.0,1.4,0.2,25.4,1.9,0.5,21.0,15.0,0.5,3.0,250.9,0.1,0.1,,2533.0,1218.0,0.03,0.09,0.7,56,65.0
164,ER026,"Encung asam, segar",KZGPI- 1990,buah,single,73.0,122.0,3.5,4.5,17.5,9.3,1.5,63.0,69.0,3.2,,,,,0.0,,2357.0,0.02,,,0,98.0
165,ER027,"Erbis, segar",DABM-1964,buah,single,80.0,70.0,0.6,0,18.9,7.7,0.5,11.0,50.0,1.1,21.0,257.1,0.1,0.1,,549.0,10.0,0.0,0.1,1.1,16,33.0
166,ER028,Gandaria masak,DABM-1964,buah,single,80.8,68.0,0.7,0.1,18.0,2.2,0.4,9.0,20.0,1.0,3.0,129.0,,,,329.0,1020.0,0.03,0.07,0.7,"11
1",70.0
167,ER029,"Gatep, segar",KZGPI- 1990,buah,single,52.7,191.0,4.5,1.5,39.7,13.4,1.6,186.0,69.0,3.2,17.0,403.3,0.7,1.3,,51.0,,0.05,0.2,1.8,,100.0
168,ER030,"Jambu air, segar",DABM-1964,buah,single,87.0,46.0,0.6,0.2,11.8,2.1,0.8,8.0,9.0,1.1,11.0,321.2,,0.1,,92.0,,0.02,0.38,4.6,5,90.0
169,ER031,Jambu biji,DABM-1964,buah,single,86.0,49.0,0.9,0.3,12.2,2.4,0.6,14.0,28.0,1.1,10.0,52.8,0.0,0.3,,27.0,25.0,0.02,0.03,0.8,87,82.0
170,ER032,"Jambu bj putih tdk
brbj",KZGPI- 1990,buah,single,82.8,61.0,0.9,0.3,15.4,4.5,0.6,31.0,41.0,0.2,20.0,103.0,0.0,0.5,,53.0,18.0,1.02,0.06,1.3,"11
6",82.0
171,ER033,"Jambu bol, segar",KZGMI-2001,buah,single,87.1,49.0,2.3,0.2,9.6,3.5,0.8,8.0,8.0,0.3,1.0,14.0,0.0,0.0,,92.0,,0.13,0.01,0.5,22,67.0
172,ER034,"Jambu monyet, segar",DABM-1964,buah,single,82.6,64.0,0.7,0.6,15.8,1.2,0.3,4.0,13.0,0.5,12.0,107.8,,,,1604.0,25.0,0.02,0.0,2.0,"19
7",90.0
173,ER035,"Jeruk bali, segar",DABM-1964,buah,single,86.3,48.0,0.6,0.2,12.4,0.8,0.5,23.0,27.0,0.5,21.0,366.1,171.3,0.1,,33.0,20.0,0.04,0.0,0.4,43,62.0
174,ER036,"Jeruk banjar, segar",KZGMI-2001,buah,single,84.5,61.0,0.8,0.2,14.1,5.4,0.4,9.0,13.0,0.2,3.0,79.0,0.1,0.1,,9.0,,0.12,0.03,0.3,31,72.0
175,ER037,Jeruk garut-keprok,DABM-1964,buah,single,87.3,44.0,0.8,0.3,10.9,1.6,0.7,33.0,23.0,0.4,5.0,518.1,169.3,0.2,,0.0,420.0,0.07,0.03,0.2,31,71.0
176,ER038,"Jeruk Kalamansi, segar",BKP,buah,single,90.2,39.0,0.3,0.3,8.9,2.3,0.4,42.0,85.0,0.5,3.0,82.0,0.3,0.1,,1.0,0.3,0.02,0.1,0.0,30,100.0
177,ER039,"Jeruk manis, segar",DABM-1964,buah,single,87.2,45.0,0.9,0.2,11.2,1.4,0.5,33.0,23.0,0.4,4.0,472.1,160.0,0.2,,0.0,190.0,0.08,0.03,0.2,49,72.0
178,ER040,"Jeruk nipis, segar",KZGPI- 1990,buah,single,88.9,44.0,0.5,0.2,10.0,0.4,0.4,18.0,22.0,0.2,3.0,108.9,0.1,0.1,,23.0,4.0,0.01,0.03,0.2,20,76.0
179,ER041,"Jeruk ragi, segar",KZGPI- 1990,buah,single,87.6,49.0,0.7,0.2,11.1,0.5,0.4,36.0,67.0,0.7,4.0,457.3,155.0,0.2,,0.0,68.0,0.03,0.03,0.2,30,59.0
180,ER042,"Kawista, segar",KZGPI- 1990,buah,single,71.8,120.0,3.5,2.5,20.8,4.6,1.4,190.0,230.0,1.6,9.0,1015.6,308.4,0.4,,99.0,,0.07,0.07,0.4,3,72.0
181,ER043,"Kedondong masak,
segar",DABM-1964,buah,single,88.0,46.0,1.0,0.1,10.3,2.6,0.6,15.0,22.0,2.8,2.0,216.2,0.0,0.1,,164.0,233.0,0.08,0.23,0.3,30,58.0
182,ER044,"Kedondong, segar",KZGMI-2001,buah,single,87.8,47.0,0.5,0.2,10.4,2.7,0.6,7.0,58.0,0.8,2.0,0.0,,0.2,,167.0,,0.07,0.04,0.4,32,58.0
183,ER045,"Kelapa hutan, kering",KZGMI-2001,buah,single,6.0,623.0,2.0,"52.
1",36.5,15.3,3.4,120.0,280.0,3.8,100.0,460.0,1.7,1.9,,,,,,0.2,,
184,ER046,"Kelapa muda, daging,
segar",DABM-1964,buah,single,83.3,68.0,1.0,0.9,14.0,0.0,0.8,7.0,30.0,1.0,17.9,564.6,0.1,0.3,0.0,0.0,,0.06,0.02,0.6,4,53.0
